invoice_no,invoice_date,supplier_gstin,supplier_name,taxable_value,cgst,sgst,igst,total_itc
INV-2024-001,2024-01-05,27AABCU9603R1ZX,Reliable Traders,50000,4500,4500,0,9000
INV-2024-002,2024-01-08,27AABCU9603R1ZX,Reliable Traders,30000,2700,2700,0,5400
INV-2024-003,2024-01-10,29AADCS5739H1ZK,Sunrise Supplies,75000,0,0,13500,13500
INV-2024-004,2024-01-12,07AAACR5055K1ZK,Royal Enterprises,20000,1800,1800,0,3600
INV-2024-005,2024-01-15,27AABFT4321P1ZY,Metro Components,45000,4050,4050,0,8100
INV-2024-006,2024-01-18,29AADCS5739H1ZK,Sunrise Supplies,60000,0,0,10800,10800
INV-2024-007,2024-01-20,33AACCP8765Q1ZM,Southern Parts,35000,3150,3150,0,6300
INV-2024-008,2024-01-22,27AABFT4321P1ZY,Metro Components,95000,8550,8550,0,17100
INV-2024-009,2024-01-25,06AAACG3275M1ZR,Global Goods Ltd,15000,1350,1350,0,2700
INV-2024-010,2024-01-28,33AACCP8765Q1ZM,Southern Parts,25000,2250,2250,0,4500
INV-2024-011,2024-02-02,27AABCU9603R1ZX,Reliable Traders,40000,3600,3600,0,7200
INV-2024-012,2024-02-05,07AAACR5055K1ZK,Royal Enterprises,55000,4950,4950,0,9900
INV-2024-014,2024-02-10,29AADCS5739H1ZK,Sunrise Supplies,22000,1980,1980,0,3960
INV-2024-015,2024-02-14,06AAACG3275M1ZR,Global Goods Ltd,70000,6300,6300,0,12600
INV-2024-016,2024-02-18,36AABHP6543N1ZT,Pinnacle Vendors,33000,2970,2970,0,5940
INV-2024-017,2024-02-20,19AACFK2341L1ZB,Eastern Traders,48000,0,0,8640,8640
INV-2024-019,2024-02-25,36AABHP6543N1ZT,Pinnacle Vendors,28000,2520,2520,0,5040
INV-2024-020,2024-02-28,06AAACG3275M1ZR,Global Goods Ltd,18000,1620,1620,0,3240
